# packages in environment at /home/thanos/anaconda3/envs/apcconda312:
#
# Name                    Version                   Build  Channel
_anaconda_depends         2025.06             py312_mkl_2  
_libgcc_mutex             0.1                 conda_forge    conda-forge
_openmp_mutex             4.5                  4_kmp_llvm    conda-forge
_python_abi3_support      1.0                  hd8ed1ab_2    conda-forge
absl-py                   2.3.1                    pypi_0    pypi
aiobotocore               2.24.1             pyhe01879c_0    conda-forge
aiohappyeyeballs          2.6.1              pyhd8ed1ab_0    conda-forge
aiohttp                   3.12.15         py312h8a5da7c_0    conda-forge
aiohttp-cors              0.8.1                    pypi_0    pypi
aioitertools              0.12.0             pyhd8ed1ab_1    conda-forge
aiosignal                 1.4.0              pyhd8ed1ab_0    conda-forge
alabaster                 1.0.0              pyhd8ed1ab_1    conda-forge
alembic                   1.16.5             pyhd8ed1ab_0    conda-forge
altair                    5.5.0              pyhd8ed1ab_1    conda-forge
amqp                      5.2.0              pyhd8ed1ab_2    conda-forge
anaconda-catalogs         0.2.0              pyhd8ed1ab_1    conda-forge
annotated-types           0.7.0              pyhd8ed1ab_1    conda-forge
anyio                     4.10.0             pyhe01879c_0    conda-forge
aom                       3.5.0                h27087fc_0    conda-forge
appdirs                   1.4.4              pyhd8ed1ab_1    conda-forge
archspec                  0.2.5              pyhd8ed1ab_0    conda-forge
argon2-cffi               25.1.0             pyhd8ed1ab_0    conda-forge
argon2-cffi-bindings      25.1.0          py312h4c3975b_0    conda-forge
arrow                     1.3.0              pyhd8ed1ab_1    conda-forge
arrow-cpp                 16.1.0               hc1eb8f0_0  
asgiref                   3.9.1              pyhd8ed1ab_0    conda-forge
astroid                   3.3.11          py312h7900ff3_0    conda-forge
astropy                   7.1.0              pyhd8ed1ab_0    conda-forge
astropy-base              7.1.0           py312hb8e8fe3_0    conda-forge
astropy-iers-data         0.2025.8.25.0.36.58    pyhd8ed1ab_0    conda-forge
asttokens                 3.0.0              pyhd8ed1ab_1    conda-forge
astunparse                1.6.3                    pypi_0    pypi
async-lru                 2.0.5              pyh29332c3_0    conda-forge
async-timeout             4.0.3              pyhd8ed1ab_0    conda-forge
atomicwrites              1.4.1              pyhd8ed1ab_1    conda-forge
attrs                     25.3.0             pyh71513ae_0    conda-forge
automat                   25.4.16            pyhd8ed1ab_0    conda-forge
autopep8                  2.0.4              pyhd8ed1ab_0    conda-forge
aws-c-auth                0.6.21               hd93a3ba_3    conda-forge
aws-c-cal                 0.5.20               hff2c3d7_3    conda-forge
aws-c-common              0.8.5                h166bdaf_0    conda-forge
aws-c-compression         0.2.16               hf5f93bc_0    conda-forge
aws-c-event-stream        0.2.17               h57874a7_1    conda-forge
aws-c-http                0.7.0                h96ef541_0    conda-forge
aws-c-io                  0.13.12              h57ca295_1    conda-forge
aws-c-mqtt                0.7.13              h0b5698f_12    conda-forge
aws-c-s3                  0.2.1                h82cbbf9_4    conda-forge
aws-c-sdkutils            0.1.7                hf5f93bc_0    conda-forge
aws-checksums             0.1.14               h6027aba_0    conda-forge
aws-crt-cpp               0.18.16              h26430d7_8    conda-forge
aws-sdk-cpp               1.10.55              h32f6703_0    conda-forge
babel                     2.17.0             pyhd8ed1ab_0    conda-forge
backports                 1.0                pyhd8ed1ab_5    conda-forge
backports.tarfile         1.2.0              pyhd8ed1ab_1    conda-forge
backrefs                  5.8                pyhd8ed1ab_0    conda-forge
bcrypt                    4.3.0           py312h680f630_1    conda-forge
beautifulsoup4            4.13.5             pyha770c72_0    conda-forge
billiard                  4.2.1           py312h66e93f0_0    conda-forge
binaryornot               0.4.4              pyhd8ed1ab_2    conda-forge
black                     25.1.0             pyh866005b_0    conda-forge
blas                      1.0                         mkl  
bleach                    6.2.0              pyh29332c3_4    conda-forge
bleach-with-css           6.2.0                h82add2a_4    conda-forge
blinker                   1.9.0              pyhff2d567_0    conda-forge
blosc                     1.21.5               hc2324a3_1    conda-forge
bokeh                     3.7.3              pyhd8ed1ab_0    conda-forge
boltons                   25.0.0             pyhd8ed1ab_0    conda-forge
boost-cpp                 1.85.0               h44aadfe_2    conda-forge
boto3                     1.39.11            pyhd8ed1ab_0    conda-forge
botocore                  1.39.11         pyge310_1234567_0    conda-forge
bottleneck                1.5.0           py312hc0a28a1_0    conda-forge
bqplot                    0.12.43            pyhd8ed1ab_1    conda-forge
brotli                    1.0.9                h166bdaf_9    conda-forge
brotli-bin                1.0.9                h166bdaf_9    conda-forge
brotli-python             1.0.9           py312h6a678d5_8  
brunsli                   0.1                  h9c3ff4c_0    conda-forge
build                     1.3.0                    pypi_0    pypi
bytewax                   0.21.1                   pypi_0    pypi
bzip2                     1.0.8                h4bc722e_7    conda-forge
c-ares                    1.34.5               hb9d3cd8_0    conda-forge
c-blosc2                  2.14.4               hb4ffafa_1    conda-forge
ca-certificates           2025.8.3             hbd8a1cb_0    conda-forge
cached-property           1.5.2                hd8ed1ab_1    conda-forge
cached_property           1.5.2              pyha770c72_1    conda-forge
cachetools                5.5.2              pyhd8ed1ab_0    conda-forge
catalogue                 2.0.10          py312h7900ff3_2    conda-forge
celery                    5.5.3              pyhe01879c_0    conda-forge
certifi                   2025.8.3           pyhd8ed1ab_0    conda-forge
cffi                      1.17.1          py312h06ac9bb_0    conda-forge
cfitsio                   3.470                h2e3daa1_7    conda-forge
chardet                   5.2.0              pyhd8ed1ab_3    conda-forge
charls                    2.2.0                h9c3ff4c_0    conda-forge
charset-normalizer        3.4.3              pyhd8ed1ab_0    conda-forge
click                     7.1.2                    pypi_0    pypi
click-didyoumean          0.3.1              pyhd8ed1ab_1    conda-forge
click-plugins             1.1.1.2            pyhd8ed1ab_0    conda-forge
click-repl                0.3.0              pyhd8ed1ab_0    conda-forge
cloudpathlib              0.21.1             pyhd8ed1ab_0    conda-forge
cloudpickle               3.1.1              pyhd8ed1ab_0    conda-forge
cmarkgfm                  2024.11.20      py312h66e93f0_0    conda-forge
colorama                  0.4.6              pyhd8ed1ab_1    conda-forge
colorcet                  3.1.0              pyhd8ed1ab_1    conda-forge
colorclass                2.2.2                    pypi_0    pypi
colorful                  0.5.7                    pypi_0    pypi
colorlog                  6.9.0                    pypi_0    pypi
comm                      0.2.3              pyhe01879c_0    conda-forge
compressed-rtf            1.0.7                    pypi_0    pypi
conda                     24.11.3         py312h7900ff3_0    conda-forge
conda-content-trust       0.2.0              pyhd8ed1ab_0    conda-forge
conda-libmamba-solver     24.9.0             pyhd8ed1ab_0    conda-forge
conda-pack                0.8.1              pyhd8ed1ab_1    conda-forge
conda-package-handling    2.4.0              pyh7900ff3_2    conda-forge
conda-package-streaming   0.12.0             pyhd8ed1ab_0    conda-forge
conda-repo-cli            1.0.173         py312h06a4308_0  
confection                0.1.5              pyhecae5ae_0    conda-forge
